SPEC	Model
Hãng sản xuất	HP
Chủng loại	HP Zbook Firefly 14 G8 (275W0AV)
Part Number	275W0AV
Mầu sắc	Bạc
Bộ vi xử lý	Intel® CoreTM i7-1165G7 (2.80 GHz base frequency, up to 4.70 GHz with Intel® Turbo Boost Technology, 12 MB cache, 4 cores)
Chipset	Intel
Bộ nhớ trong	16GB DDR4- 3200
Số khe cắm	Không nâng cấp
Dung lượng tối đa	 
VGA	NVIDIA® T500 4GB
Ổ cứng	SSD 512GB PCIe NVMe
Ổ quang	No
Card Reader	No
Bảo mật, công nghệ	Fingerprint / Đạt chuẩn quân đội Mỹ
Màn hình	14" diagonal, FHD (1920 x 1080), IPS, anti-glare, 250 nits, 45% NTSC
Webcam	720p HD webcam
Audio	Audio by Bang & Olufsen, dual stereo speakers, HP World Facing Microphone dual array digital microphone, combo microphone/headphone jack, HD audio
Giao tiếp mạng	 
Giao tiếp không dây	Intel Wi-Fi 6 AX201 ax 2x2 MU-MIMO nvP 160MHz +Bluetooth 5 WW with 2 Antennas
Cổng giao tiếp	HDMI 2.0 (HDMI cable not included), Nano SIM card slot (optional), USB 3.1 Gen 1 Type A, Speakers
Pin	HP Long Life 3-cell, 56 Wh Li-ion polymer
Kích thước (rộng x dài x cao)	32.3 x 21.46 x 1.79 cm
Cân nặng	1.35 Kg
Hệ điều hành	Win 10 Pro 64bit
Phụ kiện đi kèm	AC Adapter
